Mean Temp (°C),Total Precip (mm),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),New_cases,New_hospitalized,New_icu,First_day,Stayhome_Order,std_sd_score
13.24,8.22,7.08,0.0,0.4,341.0,-40.0,-7.0,0.0,1.0,69.26994906621393
12.360000000000001,0.0,0.0,0.0,0.4,391.0,-11.0,2.0,0.0,1.0,42.95415959252971
11.379999999999999,4.140000000000001,2.56,0.0,0.4,340.0,-41.0,-8.0,0.0,1.0,53.98981324278438
12.220000000000002,7.860000000000001,5.680000000000001,0.0,0.4,304.0,38.0,2.0,0.0,1.0,88.28522920203736
13.66,0.0,0.0,0.0,0.4,427.0,15.0,2.0,0.0,1.0,58.40407470288624
13.059999999999999,0.0,0.0,0.0,0.4,390.0,4.0,-7.0,0.0,0.0,49.9151103565365
13.780000000000001,0.0,0.0,0.0,0.4,413.0,-7.0,-4.0,0.0,0.0,48.21731748726656
16.44,0.9199999999999999,0.9199999999999999,0.0,0.4,441.0,-23.0,-5.0,0.0,0.0,51.78268251273344
18.799999999999997,0.04,0.0,0.0,0.4,412.0,-49.0,-1.0,0.0,0.0,35.144312393887944
20.28,0.08,0.08,0.0,0.4,460.0,-34.0,1.0,0.0,0.0,38.37011884550085
23.3,0.3,0.3,0.0,0.4,404.0,-19.0,-1.0,0.0,0.0,50.59422750424448
23.86,0.0,0.0,0.0,0.4,287.0,-11.0,-3.0,0.0,0.0,51.273344651952456
23.72,0.0,0.0,0.0,0.4,292.0,-1.0,1.0,1.0,1.0,51.44312393887945
21.22,3.6199999999999997,3.04,0.0,0.4,383.0,-14.0,-10.0,0.0,1.0,61.46010186757216
18.499999999999996,4.76,4.46,0.0,0.4,344.0,-7.0,-4.0,0.0,1.0,60.78098471986417
12.379999999999999,1.26,1.26,0.0,0.4,323.0,-25.0,-4.0,0.0,1.0,41.25636672325976
10.139999999999999,0.04,0.04,0.0,0.4,326.0,-20.0,1.0,0.0,1.0,38.20033955857385
13.7,0.0,0.0,0.0,0.4,404.0,0.0,5.0,0.0,1.0,47.02886247877759
17.979999999999997,2.56,2.3600000000000003,0.0,0.4,446.0,20.0,-1.0,0.0,1.0,52.63157894736842
18.9,2.1399999999999997,1.7399999999999998,0.0,0.4,338.0,-10.0,-2.0,0.0,1.0,51.44312393887945
20.24,0.0,0.0,0.0,0.4,356.0,-15.0,-6.0,0.0,1.0,43.63327674023769
21.78,13.120000000000001,10.940000000000001,0.0,0.4,344.0,-27.0,-3.0,0.0,1.0,49.74533106960951
19.18,0.12,0.12,0.0,0.4,455.0,-76.0,-3.0,1.0,1.0,29.03225806451613
15.5,0.0,0.0,0.0,0.4,415.0,-38.0,-4.0,0.0,1.0,26.6553480475382
16.22,0.0,0.0,0.0,0.4,243.0,-32.0,1.0,0.0,1.0,43.12393887945671
21.04,0.13999999999999999,0.13999999999999999,0.0,0.4,230.0,-3.0,-2.0,0.0,1.0,44.99151103565365
23.78,12.08,8.78,0.0,0.4,251.0,-20.0,3.0,0.0,1.0,52.97113752122241
19.099999999999998,0.78,0.74,0.0,0.4,203.0,-42.0,1.0,0.0,1.0,43.2937181663837
12.3,0.1,0.1,0.0,0.4,182.0,-11.0,-5.0,0.0,1.0,44.65195246179966
12.120000000000001,0.12,0.12,0.0,0.4,266.0,-38.0,-4.0,0.0,1.0,24.95755517826825
12.219999999999999,0.0,0.0,0.0,0.4,197.0,-51.0,-8.0,0.0,1.0,22.75042444821732
14.059999999999999,0.0,0.0,0.0,0.4,181.0,-19.0,1.0,0.0,1.0,40.0679117147708
15.76,0.04,0.0,0.0,0.4,184.0,-6.0,-3.0,0.0,1.0,38.20033955857385
18.82,0.0,0.0,0.0,0.4,190.0,-30.0,-8.0,1.0,1.0,39.04923599320883
21.02,0.0,0.0,0.0,0.4,173.0,-32.0,-7.0,0.0,1.0,36.16298811544992
22.82,0.04,0.0,0.0,0.4,178.0,-20.0,-3.0,0.0,1.0,37.011884550084886
23.46,0.04,0.0,0.0,0.4,206.0,2.0,0.0,0.0,1.0,17.65704584040747
24.12,0.0,0.0,0.0,0.4,175.0,-47.0,6.0,0.0,1.0,22.920203735144312
